문서id,발행일,담당부서,제목,앞두문장,자동제안,강도,자동근거,확정분류(사람이 채움),비고
fsc-81090,2023-11-16,금융안전과,[보도자료] 오늘부터 대면편취형 보이스피싱도 피해구제 대상에 포함됩니다. - 개정 ｢통신사기피해환급법｣이 ’23.11.17일부터 시행되어 대면편취형 보이스피싱도 관련 계좌에 대한 지급정지 및 피해금 환급 등이 가능해집니다.,"보이스피싱 사기범을 만나 직접 현금을 전달하는 대면편취형 보이스피싱의 경우 그간 건수 및 비중이 큰 폭으로 증가*하여 피해자 보호 필요성이 부각되었으나, ｢통신사기피해환급법｣은 계좌간 송금･이체된 보이스피싱에만 적용되어 대면편취형 보이스피싱 피해자는 계좌 지급정지, 피",C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-81216,2023-12-11,금융안전과,[보도자료] 제1회 ‘보이스피싱 우수 지킴이’ 시상식 개최 - 보이스피싱 예방 및 피해구제 우수 대응 사례에 대한 포상 실시 -,"‘23.12.11(월) 14:00 은행연합회 국제회의실 에서 보이스피싱 대응 관련 범정부 기관 *들이 처음으로 함께 보이스피싱 예방 및 피해구제 관련 우수 대응 사례 에 대해 포상 하는 시상식 을 개최하였다. / * 금융위원회, 중소벤처기업부, 경찰청, 금융감독원",C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-81526,2024-01-22,금융안전과,[보도자료] 보이스피싱 피해를 막기 위한 “본인계좌 일괄지급정지” 서비스 출시 이후 1년간의 이용실적,금융당국 은 나날이 교묘해지는 보이스피싱 수법에 금융소비자가 선제적으로 대응 할 수 있도록 본인 명의 로 개설된 모든 계좌를 일괄 또는 선택하여 지급 정지 할 수 있는 “ 본인계좌 일괄지급정지 ” 서비스 를 ’22.12 월 금융결제원 어카운트인포 홈페이지 (payinf,C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-81976,2024-03-28,금융데이터정책과,[보도자료] 재창업자·청년의 신용회복 지원과 보이스피싱 피해 예방을 위한 신용정보 제도개선 추진,"3월28일(목) , 금융위원회 (김소영 금융위원회 부위원장 주재) 는 「 재창업자· 청년의 신용회복 지원 과 보이스피싱 피해 예방 을 위한 신용정보 제도개선 회의」 를 개최하였다. 오늘 회의에는 금융감독원, 금융위원회 청년자문역, 중소벤처기업진흥공단, 한국신용정보원, ",C,C,B·A 요건 미달,,
fsc-82912,2024-08-19,금융안전과,[보도자료] 간편송금을 악용한 보이스피싱의 피해를 신속히 차단할 수 있게 되었습니다. - ｢통신사기피해환급법 시행령｣ 개정안 국무회의 통과,간편송금을 악용한 보이스피싱의 피해를 신속히 차단할 수 있게 되었습니다. / - ｢통신사기피해환급법 시행령｣ 개정안 국무회의 통과,C,C,"경보어는 있으나 수법 묘사 없음(유의,사기)",,
fsc-84263,2025-03-31,서민금융과,"[보도자료] 소액자금 때문에 불법사금융을 이용하지 마세요, ｢불법사금융예방대출｣이 있습니다!","소액자금 때문에 / 불법사금융을 이용하지 마세요,",C,C,경보어는 있으나 수법 묘사 없음(주의),,
fsc-84309,2025-04-08,가계금융과,[보도자료] 불법사금융 척결 및 대부업 제도개선을 위한 대부업법 시행령 및 감독규정 개정안 입법예고 실시 (‘25.4.8~’25.5.19일),불법사금융 척결 및 / 대부업 제도개선을 위한,C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-85147,2025-08-22,가계금융과,불법사금융·불법추심 근절을 위한 현장 간담회 개최,불법사금융·불법추심 근절 을 위한 / 현장 간담회 개최,C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-85187,2025-08-28,금융안전과,"보이스피싱 근절을 위해 금융권의 대응역량을 강화하겠습니다. - 금융권 등 책임성 강화, 선제적 탐지를 위한 보이스피싱 AI 플랫폼 구축, 가상자산 편취 수법 대응 강화 등 제도개선 추진",보이스피싱 근절을 위해 / 금융권의 대응역량을 강화하겠습니다.,C,C,"경보어는 있으나 수법 묘사 없음(주의,유의)",,
fsc-85308,2025-09-17,금융안전과,금융지주회사 자회사간 공동 대응으로 보이스피싱을 예방합니다. - 금융지주회사 자회사간 보이스피싱 의심정보 공유를 허용하는 혁신금융서비스 신규 지정,금융지주회사 자회사간 공동 대응으로 / 보이스피싱을 예방합니다.,C,C,경보어는 있으나 수법 묘사 없음(사기),,
